Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Highway,Snowy,1.1,Wet,Dark - Lit,127.8,Low,Car,43,26,No,Yes,Afternoon,Saturday,Urban,Straight,Crossroad,Yes,Yes,No,Yes,9.8,1
Highway,Rainy,3.0,Dry,Dusk/Dawn,54.9,Low,Bus,61,11,No,Yes,Afternoon,Wednesday,Urban,Straight,Roundabout,Yes,No,No,No,17.8,0
Highway,Rainy,7.9,Dry,Dark - Lit,157.4,Low,Bus,22,32,No,Yes,Evening,Monday,Urban,Sharp Curve,No Junction,No,Yes,Yes,No,21.4,1
Urban Road,Clear,1.7,Wet,Dusk/Dawn,45.1,Medium,Motorcycle,38,12,No,No,Afternoon,Sunday,Rural,Straight,T-Junction,No,No,Yes,No,32.6,0
Highway,Foggy,6.5,Dry,Dark - Lit,148.0,Medium,Car,52,1,No,No,Evening,Friday,Urban,Straight,Crossroad,No,No,No,Yes,15.3,1
Highway,Windy,9.2,Dry,Dark - Lit,65.4,High,Truck,57,2,Yes,Yes,Morning,Thursday,Urban,Straight,T-Junction,Yes,No,No,No,17.9,0
Residential,Windy,6.9,Dry,Daylight,126.8,Medium,Truck,45,10,No,Yes,Night,Saturday,Urban,Slight Curve,T-Junction,No,No,No,No,-5.9,1
Urban Road,Clear,8.1,Wet,Dark - Lit,83.9,Low,Bus,71,4,Yes,Yes,Morning,Tuesday,Rural,Sharp Curve,Crossroad,No,Yes,No,No,-7.0,0
Urban Road,Clear,1.3,Dry,Dusk/Dawn,123.1,Medium,Truck,43,1,No,Yes,Night,Tuesday,Rural,Slight Curve,No Junction,No,Yes,No,No,30.7,1
Rural Road,Clear,2.7,Dry,Dusk/Dawn,41.8,High,Bus,49,27,No,No,Afternoon,Saturday,Urban,Straight,No Junction,Yes,Yes,No,No,16.5,0
Urban Road,Snowy,9.0,Dry,Dusk/Dawn,57.7,Medium,Motorcycle,65,12,No,No,Afternoon,Monday,Urban,Straight,T-Junction,No,No,No,No,-5.1,0
Urban Road,Foggy,7.2,Wet,Dark - Unlit,34.0,High,Bus,67,34,No,Yes,Evening,Wednesday,Rural,Straight,No Junction,No,No,Yes,No,3.2,1
Rural Road,Rainy,6.5,Dry,Dark - Lit,141.1,High,Car,61,39,No,No,Evening,Thursday,Urban,Straight,No Junction,No,Yes,Yes,No,27.3,1
Urban Road,Clear,6.7,Dry,Daylight,61.5,High,Bus,61,12,No,Yes,Night,Wednesday,Urban,Straight,Crossroad,Yes,No,Yes,No,17.8,0
Urban Road,Clear,4.3,Wet,Daylight,117.2,Low,Truck,38,11,Yes,Yes,Morning,Monday,Rural,Straight,No Junction,Yes,Yes,No,No,33.7,1
Urban Road,Rainy,0.6,Wet,Dark - Unlit,134.8,High,Truck,21,17,No,Yes,Night,Monday,Urban,Straight,Crossroad,No,Yes,No,No,11.6,1
Urban Road,Windy,7.9,Dry,Dark - Lit,146.2,Medium,Truck,59,17,No,Yes,Night,Wednesday,Rural,Straight,No Junction,Yes,No,No,Yes,-3.7,0
Rural Road,Rainy,6.9,Wet,Dusk/Dawn,34.9,Medium,Car,58,16,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,4.7,0
Urban Road,Clear,4.8,Dry,Dark - Unlit,145.0,Medium,Bus,53,38,No,Yes,Evening,Friday,Rural,Straight,Roundabout,No,No,Yes,No,-4.0,1
Urban Road,Rainy,9.0,Wet,Dark - Unlit,47.6,High,Bus,41,21,No,Yes,Afternoon,Friday,Rural,Straight,Crossroad,Yes,Yes,Yes,No,16.4,0
Rural Road,Clear,3.5,Dry,Dusk/Dawn,123.2,High,Truck,50,12,No,Yes,Afternoon,Monday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,16.1,0
Residential,Windy,3.1,Dry,Dark - Unlit,122.0,Low,Car,22,37,No,Yes,Evening,Friday,Urban,Slight Curve,T-Junction,No,Yes,No,No,-5.9,1
Highway,Clear,8.8,Wet,Dark - Unlit,21.2,High,Truck,74,18,No,Yes,Night,Friday,Urban,Straight,T-Junction,No,Yes,No,No,0.5,0
Residential,Rainy,8.0,Wet,Dusk/Dawn,50.9,Medium,Truck,20,23,No,Yes,Evening,Sunday,Rural,Straight,Crossroad,No,No,Yes,No,43.3,0
Rural Road,Clear,5.2,Dry,Dark - Lit,88.9,Low,Car,28,18,No,Yes,Night,Sunday,Urban,Straight,No Junction,Yes,No,Yes,No,44.1,0
Highway,Foggy,1.5,Dry,Daylight,78.8,Medium,Truck,62,20,No,Yes,Afternoon,Saturday,Rural,Straight,Crossroad,No,No,No,No,8.8,0
Rural Road,Foggy,2.3,Icy,Daylight,148.6,Low,Motorcycle,49,23,No,No,Night,Tuesday,Rural,Straight,No Junction,No,Yes,No,No,-2.0,1
Rural Road,Foggy,6.6,Wet,Dusk/Dawn,70.4,High,Car,39,29,No,Yes,Afternoon,Wednesday,Urban,Slight Curve,No Junction,Yes,Yes,No,Yes,0.4,0
Urban Road,Clear,4.0,Dry,Dusk/Dawn,151.2,Low,Truck,28,27,No,Yes,Afternoon,Sunday,Urban,Straight,T-Junction,No,Yes,No,No,-5.5,1
Highway,Clear,8.4,Wet,Dark - Lit,84.3,High,Bus,55,34,No,Yes,Night,Tuesday,Urban,Straight,T-Junction,No,Yes,Yes,No,-5.3,1
Urban Road,Clear,9.5,Dry,Dark - Unlit,155.0,High,Motorcycle,39,37,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,Yes,No,No,No,0.6,1
Highway,Foggy,8.1,Dry,Dark - Lit,123.2,Medium,Bus,21,16,Yes,Yes,Evening,Saturday,Urban,Straight,Crossroad,No,Yes,Yes,No,15.9,1
Rural Road,Clear,3.9,Dry,Dark - Unlit,136.1,High,Bus,56,33,No,No,Night,Monday,Urban,Straight,Roundabout,Yes,Yes,No,No,29.2,1
Rural Road,Rainy,7.9,Dry,Dark - Unlit,34.7,High,Motorcycle,20,8,No,Yes,Morning,Saturday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,-1.3,1
Residential,Windy,3.6,Dry,Dark - Lit,102.1,High,Car,71,12,No,No,Afternoon,Monday,Urban,Sharp Curve,No Junction,Yes,Yes,No,No,12.9,0
Highway,Windy,1.8,Dry,Dusk/Dawn,40.0,Medium,Truck,27,13,No,No,Night,Monday,Rural,Straight,Roundabout,No,No,No,No,-5.3,0
Urban Road,Clear,0.5,Dry,Dusk/Dawn,61.7,High,Bus,54,25,No,Yes,Night,Tuesday,Rural,Slight Curve,Crossroad,No,Yes,No,No,24.2,0
Residential,Rainy,4.0,Dry,Dark - Lit,107.3,Medium,Bus,36,20,No,Yes,Night,Sunday,Rural,Straight,T-Junction,Yes,No,No,No,13.7,0
Residential,Clear,9.1,Dry,Dark - Unlit,121.7,Low,Bus,35,19,No,Yes,Morning,Thursday,Urban,Straight,No Junction,Yes,No,No,Yes,34.0,0
Residential,Foggy,2.5,Dry,Dark - Unlit,25.5,Medium,Car,45,10,No,No,Morning,Tuesday,Rural,Straight,Roundabout,Yes,Yes,No,No,38.5,1
Urban Road,Snowy,2.2,Wet,Dark - Unlit,94.3,Medium,Bus,48,34,No,No,Afternoon,Saturday,Rural,Straight,Crossroad,No,No,No,No,3.4,1
Residential,Clear,9.7,Dry,Dark - Unlit,99.1,High,Bus,34,30,No,No,Evening,Tuesday,Urban,Straight,No Junction,Yes,No,No,No,12.1,0
Urban Road,Clear,0.4,Wet,Dark - Lit,31.0,Medium,Bus,41,17,No,Yes,Morning,Saturday,Rural,Straight,No Junction,No,No,No,No,17.4,0
Residential,Snowy,7.9,Dry,Daylight,90.1,Low,Motorcycle,18,13,No,Yes,Morning,Tuesday,Rural,Straight,T-Junction,No,Yes,Yes,Yes,44.8,0
Urban Road,Windy,3.3,Dry,Dusk/Dawn,119.9,Medium,Motorcycle,22,4,No,Yes,Night,Friday,Rural,Straight,Crossroad,No,No,No,Yes,40.4,1
Rural Road,Clear,0.6,Wet,Dusk/Dawn,27.5,High,Bus,49,16,No,Yes,Night,Saturday,Urban,Straight,No Junction,Yes,Yes,No,No,43.3,0
Rural Road,Rainy,9.2,Muddy,Daylight,126.4,Low,Car,70,20,No,Yes,Evening,Sunday,Urban,Slight Curve,No Junction,No,Yes,No,No,15.5,0
Rural Road,Clear,1.6,Dry,Dark - Unlit,100.7,High,Car,34,13,No,Yes,Afternoon,Sunday,Urban,Straight,Crossroad,Yes,No,Yes,No,45.0,0
Rural Road,Clear,5.6,Dry,Daylight,136.7,High,Truck,74,2,No,Yes,Night,Friday,Urban,Straight,Roundabout,Yes,Yes,No,No,-8.2,1
Rural Road,Windy,2.9,Wet,Daylight,50.5,Medium,Motorcycle,38,30,No,Yes,Afternoon,Monday,Rural,Sharp Curve,Crossroad,Yes,No,No,No,43.2,0
Residential,Snowy,0.8,Muddy,Daylight,136.7,High,Car,58,24,No,Yes,Evening,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,0.6,1
Residential,Foggy,0.7,Muddy,Dusk/Dawn,33.2,Low,Bus,60,16,No,Yes,Evening,Tuesday,Rural,Sharp Curve,Crossroad,No,No,No,No,43.8,1
Residential,Clear,1.3,Dry,Dusk/Dawn,76.5,Low,Motorcycle,39,25,No,Yes,Morning,Monday,Rural,Straight,No Junction,Yes,No,Yes,No,15.0,0
Urban Road,Snowy,0.9,Dry,Daylight,47.9,Low,Car,56,16,No,No,Afternoon,Wednesday,Urban,Straight,Crossroad,No,Yes,No,No,21.9,0
Urban Road,Clear,7.7,Wet,Daylight,142.6,Low,Truck,56,18,No,No,Night,Thursday,Rural,Slight Curve,No Junction,No,No,Yes,No,39.9,1
Urban Road,Clear,5.0,Wet,Daylight,118.7,Medium,Bus,51,26,No,Yes,Night,Saturday,Rural,Sharp Curve,No Junction,Yes,No,No,No,44.1,0
Urban Road,Rainy,3.6,Wet,Dark - Unlit,23.6,Low,Motorcycle,31,6,No,No,Afternoon,Thursday,Urban,Straight,Crossroad,Yes,No,No,No,-0.6,1
Rural Road,Clear,4.3,Icy,Dark - Unlit,21.3,Medium,Truck,33,25,No,Yes,Night,Wednesday,Rural,Slight Curve,T-Junction,No,No,No,No,23.5,1
Rural Road,Foggy,9.3,Wet,Dark - Unlit,60.8,High,Truck,22,4,No,No,Night,Monday,Rural,Straight,T-Junction,Yes,No,Yes,No,28.1,0
Rural Road,Rainy,9.1,Dry,Dusk/Dawn,40.1,High,Motorcycle,35,1,No,Yes,Night,Wednesday,Urban,Slight Curve,T-Junction,No,No,Yes,No,28.9,0
Highway,Clear,7.2,Dry,Dark - Lit,108.2,Medium,Car,21,15,No,No,Night,Thursday,Urban,Straight,No Junction,No,No,No,No,1.6,1
Residential,Clear,8.9,Wet,Daylight,112.9,High,Bus,61,10,Yes,Yes,Evening,Sunday,Urban,Slight Curve,No Junction,No,No,No,No,-6.1,1
Urban Road,Clear,3.3,Dry,Daylight,151.9,High,Truck,68,38,No,No,Evening,Wednesday,Urban,Straight,Roundabout,No,No,Yes,No,10.7,1
Urban Road,Clear,3.9,Dry,Dark - Lit,153.3,Low,Truck,45,22,No,Yes,Night,Tuesday,Urban,Sharp Curve,T-Junction,Yes,No,Yes,No,34.6,1
Rural Road,Rainy,6.2,Dry,Daylight,112.2,High,Motorcycle,62,34,Yes,Yes,Afternoon,Friday,Rural,Straight,Crossroad,Yes,No,No,No,43.4,0
Urban Road,Snowy,6.3,Dry,Dark - Unlit,20.8,High,Motorcycle,44,5,No,Yes,Night,Tuesday,Rural,Straight,Roundabout,Yes,No,No,No,14.5,0
Urban Road,Clear,4.9,Dry,Dark - Unlit,70.3,Medium,Motorcycle,23,36,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,Roundabout,No,No,Yes,No,40.3,0
Residential,Clear,4.1,Icy,Dark - Lit,91.8,Low,Truck,28,0,No,Yes,Afternoon,Thursday,Urban,Straight,No Junction,No,No,No,Yes,29.7,1
Rural Road,Rainy,9.9,Dry,Dark - Unlit,89.9,High,Car,64,32,Yes,Yes,Morning,Saturday,Urban,Straight,Crossroad,Yes,No,No,No,-3.5,1
Residential,Snowy,8.2,Dry,Dark - Lit,104.5,High,Car,38,17,No,Yes,Morning,Saturday,Urban,Straight,No Junction,No,No,No,No,9.0,1
Highway,Clear,4.5,Dry,Dark - Unlit,154.5,Medium,Bus,34,2,No,No,Morning,Saturday,Urban,Straight,T-Junction,No,Yes,Yes,No,30.9,1
Highway,Clear,7.3,Dry,Daylight,143.9,High,Motorcycle,48,18,No,No,Afternoon,Friday,Urban,Straight,T-Junction,No,Yes,Yes,No,14.6,0
Highway,Rainy,2.8,Muddy,Dusk/Dawn,35.2,Low,Bus,51,9,No,Yes,Afternoon,Friday,Urban,Straight,Crossroad,Yes,Yes,No,No,26.1,0
Rural Road,Clear,1.2,Icy,Dark - Unlit,57.2,Low,Truck,30,19,No,Yes,Afternoon,Wednesday,Rural,Slight Curve,Roundabout,Yes,No,No,No,31.8,0
Urban Road,Clear,3.7,Dry,Dark - Lit,136.6,Low,Truck,40,10,No,Yes,Afternoon,Tuesday,Rural,Straight,Crossroad,No,No,No,No,44.0,1
Rural Road,Foggy,4.1,Wet,Dusk/Dawn,135.4,Medium,Truck,74,31,No,Yes,Afternoon,Sunday,Rural,Straight,No Junction,Yes,Yes,Yes,No,40.5,1
Rural Road,Rainy,0.4,Dry,Daylight,58.6,Low,Bus,18,39,No,No,Evening,Saturday,Rural,Slight Curve,No Junction,No,No,No,No,8.9,0
Urban Road,Rainy,8.2,Muddy,Dusk/Dawn,122.3,Low,Motorcycle,21,19,No,Yes,Night,Wednesday,Urban,Straight,Roundabout,No,Yes,No,Yes,34.2,1
Residential,Foggy,3.7,Dry,Dark - Lit,114.1,Low,Bus,47,31,Yes,Yes,Morning,Thursday,Rural,Straight,No Junction,Yes,No,No,No,10.5,0
Highway,Foggy,5.9,Dry,Daylight,86.3,Low,Bus,48,36,No,Yes,Afternoon,Friday,Urban,Slight Curve,No Junction,Yes,Yes,No,Yes,25.5,1
Residential,Clear,0.9,Wet,Daylight,48.2,Low,Truck,64,21,Yes,Yes,Evening,Wednesday,Rural,Straight,Crossroad,No,No,Yes,No,-6.6,1
Highway,Clear,1.9,Icy,Dark - Unlit,144.4,Low,Truck,33,3,No,No,Morning,Friday,Rural,Straight,T-Junction,Yes,Yes,No,No,33.1,1
Rural Road,Clear,8.9,Dry,Dusk/Dawn,114.9,Medium,Car,60,12,No,Yes,Night,Tuesday,Rural,Slight Curve,Crossroad,Yes,Yes,No,No,44.5,0
Highway,Clear,6.2,Wet,Dark - Unlit,43.7,Low,Motorcycle,20,5,No,No,Evening,Saturday,Urban,Straight,Crossroad,No,No,No,No,19.6,0
Rural Road,Foggy,9.5,Dry,Daylight,118.7,High,Motorcycle,29,28,Yes,Yes,Afternoon,Thursday,Urban,Sharp Curve,Roundabout,No,Yes,No,No,41.3,1
Residential,Windy,10.0,Muddy,Dark - Unlit,123.8,Medium,Motorcycle,29,1,No,Yes,Evening,Tuesday,Rural,Straight,Roundabout,Yes,Yes,No,No,38.0,1
Rural Road,Windy,3.8,Dry,Dark - Unlit,144.2,High,Bus,28,24,No,No,Evening,Wednesday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,-9.4,1
Residential,Rainy,3.1,Muddy,Dark - Lit,51.2,High,Truck,33,31,Yes,Yes,Night,Wednesday,Urban,Straight,T-Junction,Yes,Yes,No,No,-5.1,1
Urban Road,Clear,8.6,Dry,Dark - Unlit,158.4,Low,Truck,46,25,No,Yes,Evening,Sunday,Rural,Straight,Crossroad,No,No,Yes,No,14.0,1
Urban Road,Clear,10.0,Dry,Daylight,41.5,High,Car,70,25,No,Yes,Morning,Monday,Urban,Sharp Curve,Crossroad,No,No,Yes,No,4.5,0
Urban Road,Snowy,6.4,Muddy,Dark - Unlit,104.1,High,Bus,38,37,No,Yes,Evening,Tuesday,Urban,Slight Curve,No Junction,Yes,Yes,No,No,12.1,0
Rural Road,Rainy,8.0,Muddy,Daylight,112.0,High,Motorcycle,62,21,No,Yes,Morning,Thursday,Urban,Straight,Crossroad,Yes,Yes,No,No,18.1,1
Urban Road,Rainy,7.9,Wet,Daylight,78.7,Low,Bus,61,9,No,No,Afternoon,Saturday,Urban,Slight Curve,Roundabout,Yes,Yes,Yes,Yes,16.3,0
Highway,Snowy,3.7,Dry,Dark - Lit,86.5,Low,Truck,59,22,No,Yes,Afternoon,Friday,Rural,Sharp Curve,Roundabout,Yes,No,No,No,-1.1,1
Residential,Foggy,5.8,Dry,Daylight,144.7,Low,Car,60,3,No,Yes,Morning,Monday,Urban,Slight Curve,Crossroad,No,Yes,No,No,-1.8,1
Residential,Snowy,8.4,Dry,Daylight,110.3,Medium,Bus,67,15,No,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,12.7,0
Highway,Clear,6.9,Dry,Dark - Lit,89.6,Low,Truck,22,32,No,Yes,Night,Saturday,Urban,Straight,Crossroad,No,No,No,No,28.0,0
Rural Road,Foggy,0.4,Wet,Daylight,38.0,Low,Bus,69,12,No,Yes,Night,Tuesday,Rural,Sharp Curve,Crossroad,No,Yes,No,No,22.5,1
Rural Road,Windy,3.5,Dry,Dark - Lit,21.0,High,Truck,30,12,No,Yes,Night,Friday,Rural,Sharp Curve,No Junction,Yes,No,No,No,-5.3,0
Residential,Clear,1.6,Wet,Dusk/Dawn,37.5,Low,Bus,34,32,No,Yes,Night,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,5.6,0
Urban Road,Rainy,2.5,Wet,Dusk/Dawn,153.9,High,Motorcycle,29,13,No,Yes,Morning,Monday,Rural,Straight,No Junction,No,No,No,No,12.8,1
Rural Road,Clear,9.1,Dry,Dusk/Dawn,127.0,Low,Bus,34,7,No,Yes,Night,Saturday,Rural,Straight,Roundabout,No,No,No,No,8.3,0
Rural Road,Windy,0.6,Wet,Daylight,155.4,Low,Bus,18,25,No,Yes,Morning,Saturday,Urban,Slight Curve,Roundabout,Yes,Yes,Yes,No,14.6,1
Highway,Clear,2.4,Wet,Dark - Unlit,25.0,Low,Motorcycle,25,21,No,Yes,Evening,Friday,Urban,Straight,T-Junction,No,Yes,No,Yes,14.1,0
Highway,Rainy,3.2,Wet,Dark - Lit,115.2,Low,Bus,33,0,Yes,Yes,Morning,Tuesday,Rural,Sharp Curve,Roundabout,No,No,No,No,35.8,1
Urban Road,Clear,6.2,Dry,Dusk/Dawn,26.2,Low,Truck,32,15,No,Yes,Afternoon,Friday,Rural,Sharp Curve,Roundabout,No,Yes,No,No,35.9,0
Rural Road,Foggy,5.4,Wet,Dark - Lit,129.5,Low,Truck,36,28,No,Yes,Night,Tuesday,Rural,Straight,Crossroad,Yes,No,No,No,41.7,1
Rural Road,Clear,2.3,Dry,Dusk/Dawn,73.3,Low,Truck,42,22,No,Yes,Morning,Wednesday,Rural,Slight Curve,Crossroad,Yes,No,No,Yes,18.8,0
Highway,Clear,1.8,Dry,Dusk/Dawn,33.4,High,Truck,48,4,No,No,Morning,Wednesday,Rural,Straight,No Junction,Yes,Yes,No,No,5.2,0
Rural Road,Rainy,2.5,Wet,Daylight,99.5,Medium,Truck,59,20,Yes,Yes,Morning,Tuesday,Rural,Slight Curve,T-Junction,Yes,No,Yes,No,28.1,1
Residential,Windy,5.1,Wet,Dark - Lit,59.2,Medium,Motorcycle,19,35,Yes,Yes,Evening,Thursday,Rural,Straight,Roundabout,Yes,No,No,Yes,32.0,1
Highway,Clear,2.9,Dry,Daylight,112.3,Low,Motorcycle,74,19,No,Yes,Morning,Monday,Rural,Straight,Roundabout,Yes,No,No,No,9.2,0
Urban Road,Clear,9.5,Wet,Dark - Lit,112.1,Medium,Bus,42,7,No,Yes,Night,Wednesday,Urban,Straight,Crossroad,No,Yes,Yes,No,35.3,0
Highway,Foggy,4.7,Muddy,Dark - Lit,118.7,High,Truck,48,25,No,Yes,Afternoon,Thursday,Urban,Straight,No Junction,Yes,No,Yes,No,28.2,1
Rural Road,Rainy,0.8,Dry,Dark - Unlit,158.9,High,Bus,21,24,No,Yes,Evening,Friday,Rural,Straight,No Junction,Yes,No,No,No,43.4,1
Urban Road,Windy,7.3,Icy,Dusk/Dawn,74.1,High,Truck,21,6,No,Yes,Afternoon,Sunday,Urban,Slight Curve,Crossroad,No,No,No,No,9.0,1
Highway,Clear,3.4,Wet,Daylight,85.1,Medium,Bus,69,21,No,No,Evening,Wednesday,Rural,Straight,Crossroad,Yes,No,No,Yes,40.7,0
Residential,Rainy,6.6,Wet,Dark - Unlit,132.6,Medium,Motorcycle,29,32,No,Yes,Evening,Sunday,Rural,Slight Curve,Roundabout,Yes,Yes,No,No,9.1,1
Residential,Clear,2.9,Dry,Dark - Lit,101.0,Medium,Truck,34,4,Yes,Yes,Night,Saturday,Rural,Straight,T-Junction,No,Yes,Yes,No,37.7,1
Highway,Clear,5.8,Dry,Dusk/Dawn,25.2,Low,Motorcycle,38,37,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,No,Yes,No,No,8.0,0
Residential,Foggy,7.8,Muddy,Daylight,138.0,High,Bus,46,11,No,Yes,Afternoon,Thursday,Urban,Slight Curve,No Junction,Yes,No,No,No,40.0,1
Residential,Rainy,9.3,Dry,Dark - Unlit,27.2,High,Motorcycle,39,13,No,Yes,Evening,Monday,Urban,Straight,Crossroad,Yes,Yes,No,No,-9.1,0
Residential,Foggy,2.8,Dry,Dark - Lit,43.9,Low,Motorcycle,53,6,No,Yes,Night,Saturday,Rural,Straight,Crossroad,Yes,No,No,Yes,12.3,1
Urban Road,Clear,3.5,Wet,Dark - Unlit,34.3,Medium,Motorcycle,57,27,No,Yes,Night,Friday,Urban,Sharp Curve,No Junction,Yes,No,No,No,-7.2,0
Residential,Clear,4.7,Dry,Dark - Lit,30.9,High,Car,33,15,No,Yes,Evening,Wednesday,Rural,Straight,T-Junction,No,No,No,No,12.4,0
Residential,Clear,9.3,Wet,Dark - Lit,23.6,Medium,Bus,32,1,No,Yes,Afternoon,Saturday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,13.2,0
Residential,Windy,9.0,Wet,Dusk/Dawn,27.7,Low,Bus,47,30,No,Yes,Evening,Wednesday,Urban,Straight,Roundabout,Yes,No,No,Yes,39.9,0
Urban Road,Clear,1.1,Icy,Daylight,81.9,Medium,Truck,63,35,Yes,No,Evening,Monday,Rural,Sharp Curve,No Junction,No,No,Yes,No,34.0,1
Highway,Clear,1.5,Wet,Dusk/Dawn,55.4,Low,Truck,68,13,No,No,Evening,Tuesday,Rural,Straight,T-Junction,Yes,No,No,No,4.7,0
Rural Road,Clear,5.1,Dry,Daylight,37.7,Medium,Truck,28,27,No,Yes,Night,Saturday,Rural,Straight,Roundabout,No,No,No,No,35.9,0
Residential,Rainy,1.2,Dry,Daylight,112.2,Low,Motorcycle,74,31,No,No,Evening,Wednesday,Urban,Straight,Roundabout,Yes,No,No,No,-0.0,1
Highway,Clear,3.6,Wet,Dark - Lit,51.7,High,Bus,30,27,Yes,Yes,Evening,Tuesday,Urban,Slight Curve,T-Junction,No,Yes,No,No,28.1,0
Residential,Windy,1.7,Dry,Dark - Unlit,22.7,Low,Motorcycle,40,11,No,No,Morning,Monday,Urban,Slight Curve,T-Junction,No,No,No,No,5.3,0
Urban Road,Clear,6.4,Muddy,Daylight,78.6,Medium,Bus,57,12,No,Yes,Night,Saturday,Rural,Straight,No Junction,Yes,No,No,No,43.2,0
Highway,Windy,9.5,Wet,Daylight,63.5,High,Motorcycle,72,21,No,No,Night,Sunday,Rural,Sharp Curve,Crossroad,No,No,No,No,41.4,0
Urban Road,Clear,10.0,Dry,Daylight,64.6,Medium,Truck,58,28,No,Yes,Morning,Monday,Rural,Sharp Curve,Crossroad,No,No,No,No,6.6,0
Residential,Foggy,3.9,Icy,Daylight,82.3,Medium,Motorcycle,51,29,Yes,Yes,Evening,Saturday,Urban,Straight,Roundabout,Yes,No,No,No,-8.4,1
Residential,Windy,6.1,Dry,Dark - Lit,113.6,Low,Car,37,14,No,Yes,Night,Sunday,Urban,Straight,No Junction,No,Yes,Yes,No,25.6,1
Urban Road,Clear,8.6,Dry,Dusk/Dawn,106.3,Low,Truck,19,39,No,No,Morning,Sunday,Urban,Straight,T-Junction,No,No,Yes,No,-1.1,0
Rural Road,Windy,1.4,Wet,Dark - Unlit,151.2,Medium,Car,25,3,No,No,Evening,Sunday,Rural,Sharp Curve,No Junction,Yes,No,No,No,-3.5,1
Urban Road,Rainy,7.0,Icy,Dark - Lit,92.5,Low,Car,35,32,No,Yes,Night,Sunday,Rural,Slight Curve,Crossroad,Yes,No,No,No,39.9,0
Residential,Windy,4.2,Dry,Dark - Lit,86.2,Medium,Truck,73,8,No,Yes,Night,Thursday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,21.0,0
Urban Road,Foggy,2.2,Dry,Dark - Lit,49.9,Low,Car,71,37,Yes,Yes,Evening,Wednesday,Urban,Straight,No Junction,No,Yes,Yes,No,41.4,1
Rural Road,Clear,4.1,Dry,Daylight,125.8,Low,Car,24,15,Yes,Yes,Evening,Friday,Urban,Sharp Curve,Roundabout,Yes,Yes,No,No,4.6,1
Urban Road,Clear,0.9,Dry,Dark - Unlit,39.7,Medium,Bus,60,25,No,No,Morning,Sunday,Urban,Slight Curve,No Junction,Yes,Yes,No,No,8.3,0
Rural Road,Clear,7.0,Dry,Dark - Lit,88.8,High,Motorcycle,48,26,No,Yes,Evening,Sunday,Urban,Straight,No Junction,No,Yes,No,No,41.5,0
Rural Road,Clear,2.7,Dry,Dark - Lit,79.0,Low,Car,39,10,No,Yes,Morning,Saturday,Rural,Straight,T-Junction,No,Yes,Yes,No,14.5,0
Urban Road,Clear,3.3,Wet,Dark - Lit,112.2,Medium,Motorcycle,45,25,No,Yes,Evening,Friday,Rural,Slight Curve,T-Junction,No,No,No,Yes,2.9,1
Urban Road,Clear,1.4,Muddy,Daylight,148.5,High,Car,42,13,No,Yes,Night,Sunday,Urban,Straight,Roundabout,Yes,Yes,No,No,12.8,1
Highway,Clear,8.7,Dry,Daylight,152.5,Low,Truck,69,0,No,Yes,Morning,Saturday,Rural,Slight Curve,Roundabout,No,No,No,No,9.3,0
Residential,Snowy,5.0,Dry,Dark - Lit,43.5,Low,Truck,18,10,No,Yes,Morning,Monday,Urban,Slight Curve,No Junction,No,Yes,No,Yes,33.3,0
Rural Road,Clear,5.8,Icy,Daylight,56.7,Medium,Bus,49,29,No,Yes,Afternoon,Friday,Rural,Straight,Crossroad,Yes,No,No,Yes,12.6,0
Highway,Clear,5.8,Wet,Dark - Unlit,133.6,Low,Truck,42,23,No,Yes,Night,Sunday,Urban,Straight,Crossroad,Yes,No,No,No,-5.8,1
Urban Road,Rainy,4.2,Muddy,Daylight,92.6,Medium,Bus,65,3,No,Yes,Evening,Friday,Rural,Slight Curve,Roundabout,No,No,Yes,No,23.3,0
Residential,Clear,2.1,Dry,Dark - Lit,83.4,Medium,Truck,33,21,No,Yes,Morning,Saturday,Rural,Sharp Curve,T-Junction,No,Yes,No,No,38.9,0
Highway,Clear,7.5,Dry,Dark - Unlit,119.5,Low,Motorcycle,46,7,No,No,Afternoon,Friday,Rural,Straight,Crossroad,Yes,Yes,No,No,40.2,0
Rural Road,Clear,1.4,Dry,Daylight,104.3,High,Car,59,15,No,Yes,Evening,Sunday,Urban,Slight Curve,Roundabout,No,No,No,No,16.5,0
